"ym","media_value","monthlyRFR"
"2000-01",5.44838709677419,0.168030701687315
"2000-02",5.7348275862069,0.172268801283532
"2000-03",5.85354838709677,0.173977094896041
"2000-04",6.01966666666667,0.176322419091689
"2000-05",6.26806451612903,0.179736178104391
"2000-06",6.52833333333333,0.183200206218469
"2000-07",6.54451612903226,0.183411946847874
"2000-08",6.49677419354839,0.18278607384785
"2000-09",6.517,0.183051668874175
"2000-10",6.50935483870968,0.182951353592213
"2000-11",6.51433333333333,0.183016689078155
"2000-12",6.40225806451613,0.18153616289906
"2001-01",5.9758064516129,0.175708167481861
"2001-02",5.49428571428571,0.168721273444203
"2001-03",5.31096774193548,0.165935869436179
"2001-04",4.802,0.157794486352056
"2001-05",4.21225806451613,0.147498586293843
"2001-06",3.96966666666667,0.142950104474313
"2001-07",3.76903225806452,0.139031815545486
"2001-08",3.65258064516129,0.136687696291652
"2001-09",3.069,0.124062969307983
"2001-10",2.48516129032258,0.109648013820754
"2001-11",2.087,0.098486487746734
"2001-12",1.81774193548387,0.0901638281564141
"2002-01",1.72967741935484,0.0872830321406817
"2002-02",1.73964285714286,0.0876132654005037
"2002-03",1.73,0.0872937390671895
"2002-04",1.753,0.0880541696910926
"2002-05",1.75129032258065,0.0879978447322394
"2002-06",1.75033333333333,0.087966302917754
"2002-07",1.72903225806452,0.0872616148076537
"2002-08",1.74322580645161,0.0877317275964049
"2002-09",1.75066666666667,0.0879772905341272
"2002-10",1.75483870967742,0.0881147098160697
"2002-11",1.336,0.073262783154014
"2002-12",1.23838709677419,0.0694519240202032
"2003-01",1.23516129032258,0.0693234041845909
"2003-02",1.26214285714286,0.0703931856977067
"2003-03",1.25290322580645,0.0700281703821251
"2003-04",1.258,0.0702296898098516
"2003-05",1.25903225806452,0.0702704530891938
"2003-06",1.22266666666667,0.0688239939936548
"2003-07",1.01129032258065,0.0599602127769261
"2003-08",1.02903225806452,0.0607362543617496
"2003-09",1.01,0.0599035288950629
"2003-10",1.01,0.0599035288950629
"2003-11",0.996,0.0592863551073586
"2003-12",0.984193548387097,0.058762789329535
"2004-01",0.997096774193548,0.0593348481536304
"2004-02",1.00724137931034,0.0597822306924618
"2004-03",1.00161290322581,0.0595342685322378
"2004-04",1.004,0.0596395098857943
"2004-05",1.00451612903226,0.0596622496631627
"2004-06",1.02566666666667,0.0605895209555987
"2004-07",1.26354838709677,0.0704485919177866
"2004-08",1.42935483870968,0.0767732207412732
"2004-09",1.605,0.0830553299862067
"2004-10",1.76096774193548,0.0883162430685309
"2004-11",1.932,0.0937808879131807
"2004-12",2.15612903225806,0.100515666011578
"2005-01",2.27935483870968,0.10403379517853
"2005-02",2.50178571428571,0.110088142917745
"2005-03",2.62903225806452,0.11339492067634
"2005-04",2.785,0.117306066958782
"2005-05",3.00258064516129,0.122522377894009
"2005-06",3.03566666666667,0.123292710655946
"2005-07",3.26258064516129,0.128425047031264
"2005-08",3.49967741935484,0.13352677151124
"2005-09",3.623,0.13608368855012
"2005-10",3.77935483870968,0.139237065073596
"2005-11",3.999,0.143510775505036
"2005-12",4.15709677419355,0.146481646659786
"2006-01",4.28516129032258,0.148827581642849
"2006-02",4.49142857142857,0.152498701938327
"2006-03",4.58935483870968,0.154197528812437
"2006-04",4.79033333333333,0.157600299474056
"2006-05",4.94032258064516,0.160069928549718
"2006-06",4.991,0.160891442917634
"2006-07",5.23516129032258,0.164762306304543
"2006-08",5.24645161290323,0.1649379184522
"2006-09",5.25466666666667,0.165065514411871
"2006-10",5.24516129032258,0.164917863225554
"2006-11",5.24566666666667,0.164925718641787
"2006-12",5.23806451612903,0.164807491536905
"2007-01",5.24838709677419,0.164967994172899
"2007-02",5.25892857142857,0.165131649673708
"2007-03",5.25677419354839,0.165098223692506
"2007-04",5.24966666666667,0.164987872877249
"2007-05",5.25354838709677,0.165048154364181
"2007-06",5.254,0.165055165495199
"2007-07",5.25838709677419,0.165123249483654
"2007-08",5.02225806451613,0.161394986178726
"2007-09",4.938,0.160032124220626
"2007-10",4.75548387096774,0.157018101258308
"2007-11",4.48666666666667,0.15241538616407
"2007-12",4.24451612903226,0.148088725562357
"2008-01",3.94032258064516,0.142386184426818
"2008-02",2.98068965517241,0.12200948087209
"2008-03",2.61032258064516,0.112915439174514
"2008-04",2.27833333333333,0.104005132592025
"2008-05",1.97838709677419,0.0952125922616311
"2008-06",2.001,0.0959031273936273
"2008-07",2.00967741935484,0.0961668459149827
"2008-08",1.99645161290323,0.0957646164083568
"2008-09",1.81166666666667,0.0899677612231486
"2008-10",0.969354838709677,0.0581006906693413
"2008-11",0.387666666666667,0.0276780872509284
"2008-12",0.155161290322581,0.0120925287874045
"2009-01",0.154193548387097,0.0120218445266498
"2009-02",0.222142857142857,0.0168576599203689
"2009-03",0.180645161290323,0.0139346138023202
"2009-04",0.150333333333333,0.0117393512322985
"2009-05",0.17741935483871,0.0137034647673653
"2009-06",0.206333333333333,0.0157549420831349
"2009-07",0.155806451612903,0.0121396214777658
"2009-08",0.160322580645161,0.0124685972290897
"2009-09",0.146666666666667,0.0114702160800191
"2009-10",0.118064516129032,0.00934330197215183
"2009-11",0.119,0.00941365140645845
"2009-12",0.118064516129032,0.00934330197215183
"2010-01",0.11,0.00873459382355191
"2010-02",0.126428571428571,0.00997038227867786
"2010-03",0.164516129032258,0.012773025440679
"2010-04",0.198333333333333,0.0151918829575697
"2010-05",0.200645161290323,0.0153549480699882
"2010-06",0.176666666666667,0.0136494464705774
"2010-07",0.18258064516129,0.0140730254928461
"2010-08",0.189354838709677,0.0145558366031331
"2010-09",0.194666666666667,0.0149326617644254
"2010-10",0.191290322580645,0.0146933196383794
"2010-11",0.194333333333333,0.0149090600513087
"2010-12",0.183225806451613,0.014119116579838
"2011-01",0.168387096774194,0.0130531454651812
"2011-02",0.156785714285714,0.0122110554297277
"2011-03",0.138709677419355,0.0108834450743893
"2011-04",0.098,0.00782128965679663
"2011-05",0.0938709677419355,0.00750491775282702
"2011-06",0.092,0.00736120118695527
"2011-07",0.0709677419354839,0.00572990944461726
"2011-08",0.0958064516129032,0.00765335313821747
"2011-09",0.084,0.00674413184118561
"2011-10",0.0706451612903226,0.00570466173429085
"2011-11",0.081,0.00651165411998789
"2011-12",0.0716129032258065,0.00578038395916547
"2012-01",0.0819354838709677,0.00658421056171465
"2012-02",0.103793103448276,0.00826333139978597
"2012-03",0.126774193548387,0.0099962027518492
"2012-04",0.139333333333333,0.0109295707646424
"2012-05",0.155806451612903,0.0121396214777658
"2012-06",0.161666666666667,0.0125662800448276
"2012-07",0.156451612903226,0.0121866900781127
"2012-08",0.132258064516129,0.0104049190885447
"2012-09",0.144333333333333,0.0112985372142291
"2012-10",0.158387096774194,0.0123277515963802
"2012-11",0.160666666666667,0.0124936139037972
"2012-12",0.164516129032258,0.012773025440679
"2013-01",0.14258064516129,0.0111693691045596
"2013-02",0.145,0.0113476210381231
"2013-03",0.143548387096774,0.0112407113579962
"2013-04",0.145,0.0113476210381231
"2013-05",0.109032258064516,0.00866127662637717
"2013-06",0.0936666666666667,0.0074892355284053
"2013-07",0.0925806451612903,0.00740582701922521
"2013-08",0.0829032258064516,0.00665920845890566
"2013-09",0.08,0.00643403011000343
"2013-10",0.0870967741935484,0.00698349104468687
"2013-11",0.0843333333333333,0.00676992628230622
"2013-12",0.0851612903225806,0.00683396490976218
"2014-01",0.0716129032258065,0.00578038395916547
"2014-02",0.0664285714285714,0.00537399521454196
"2014-03",0.0780645161290323,0.00628360274313078
"2014-04",0.0903333333333333,0.00723298759181445
"2014-05",0.0870967741935484,0.00698349104468687
"2014-06",0.0956666666666667,0.0076426408597885
"2014-07",0.0909677419354839,0.0072818126397296
"2014-08",0.0880645161290323,0.00705816262208692
"2014-09",0.0883333333333333,0.00707889392264271
"2014-10",0.0890322580645161,0.00713277334470153
"2014-11",0.092,0.00736120118695527
"2014-12",0.12258064516129,0.00968242278698117
"2015-01",0.114838709677419,0.00910030320016464
"2015-02",0.110714285714286,0.00878867132259331
"2015-03",0.112903225806452,0.00895419438161427
"2015-04",0.124666666666667,0.00983864226312536
"2015-05",0.123225806451613,0.0097307664919617
"2015-06",0.129,0.0101623128808157
"2015-07",0.130322580645161,0.0102608738730883
"2015-08",0.138064516129032,0.0108357044679077
"2015-09",0.136,0.0106827676375532
"2015-10",0.123548387096774,0.0097549288000387
"2015-11",0.117666666666667,0.00931336689300744
"2015-12",0.240645161290323,0.018131713808649
"2016-01",0.342903225806452,0.0248738051255193
"2016-02",0.375172413793103,0.0269038040247542
"2016-03",0.362258064516129,0.0260966797021145
"2016-04",0.365333333333333,0.0262895128955252
"2016-05",0.365161290322581,0.0262787355434828
"2016-06",0.377666666666667,0.0270588894835886
"2016-07",0.391612903225806,0.0279213123599051
"2016-08",0.396774193548387,0.0282384744945359
"2016-09",0.396333333333333,0.0282114255611663
"2016-10",0.396451612903226,0.028218683360389
"2016-11",0.406666666666667,0.0288433772970758
"2016-12",0.54,0.0366370500542852
"2017-01",0.649677419354839,0.0425972757901503
"2017-02",0.656785714285714,0.0429709090814125
"2017-03",0.786129032258065,0.0495248737077532
"2017-04",0.896,0.05475888978382
"2017-05",0.90741935483871,0.0552868233434041
"2017-06",1.04,0.0612128837960135
"2017-07",1.15064516129032,0.0658941126587851
"2017-08",1.15709677419355,0.0661602072001068
"2017-09",1.15333333333333,0.0660050741900713
"2017-10",1.15387096774194,0.066027251257921
"2017-11",1.15689655172414,0.0661519600692828
"2017-12",1.29766666666667,0.0717839569078556
"2018-01",1.41724137931034,0.0763247699479741
"2018-02",1.41740740740741,0.0763309303632298
"2018-03",1.50612903225806,0.0795687027180039
"2018-04",1.69233333333333,0.0860356186375242
"2018-05",1.7,0.0862929984134635
"2018-06",1.8016,0.0896420235581232
"2018-07",1.91,0.0930946005886404
"2018-08",1.91478260869565,0.093244197091225
"2018-09",1.94894736842105,0.0943063477885862
"2018-10",2.18818181818182,0.10144273672768
"2018-11",2.199,0.10175370593405
"2018-12",2.267,0.103686578267217
"2019-01",2.4,0.107362748312682
"2019-02",2.4,0.107362748312682
"2019-03",2.40380952380952,0.107466090467806
"2019-04",2.42318181818182,0.107989974016866
"2019-05",2.39272727272727,0.10716516366312
"2019-06",2.3755,0.106695581512442
"2019-07",2.40272727272727,0.107436742686891
"2019-08",2.125,0.0996070150562784
"2019-09",2.0525,0.0974581618472834
"2019-10",1.83,0.0905582553153914
